uid,component_type,discipline,x1,y1,x2,y2,Airflow_m3h,Capacity_m3h,Coating,ContaminatedPath,Diameter_mm,DuctSize_mm,EquipmentType,FluidType,IP_Rating,Insulation,Length_m,Material,Material_Grade,PressureClass,PressureRating_PSI,SectionType,Status,Vendor,VoltageLevel,Voltage_V
CMP-100548,Junction_Box,Electrical,165.65,267.62,191.5,291.6,,,,C:/Synthetic/Temp/Config_3.dat,,,,,IP65,,,,,,,,,Vendor_Theta,LV_415V,
CMP-100549,Valve,Piping,619.58,683.86,658.57,723.43,,,,,300,,,Oil,,No,,Alloy_Steel,,,300,,Designed,Vendor_Alpha,,
CMP-100550,Storage_Tank,Equipment,470.0,557.17,490.91,589.13,,500,,,,,Shell_and_Tube,,,,,,,,,,Commissioned,Vendor_Delta,,3300
CMP-100551,Damper,HVAC,244.52,556.71,281.12,596.57,500,,,,,800x600,,,,None,,Galvanized_Steel,,High,,,Installed,Vendor_HVAC_1,,
CMP-100552,Cable_Tray,Electrical,266.48,154.52,285.14,169.96,,,,,,,,,IP67,,,,,,,,Energized,Vendor_Zeta,LV_415V,
CMP-100553,Platform,Structural,451.28,376.9,482.38,399.51,,,Galvanized,,,,,,,,9.0,,A572_G50,,,PFC_200,,,,
CMP-100554,Flange,Piping,210.78,350.44,248.49,367.96,,,,,150,,,Steam,,,,Alloy_Steel,,,600,,Installed,Vendor_Gamma,,
CMP-100555,Air_Handler,HVAC,234.43,213.16,264.04,230.34,,,,,,200x200,,,,Acoustic,,Galvanized_Steel,,High,,,,Vendor_HVAC_2,,
CMP-100556,Platform,Structural,910.68,161.4,943.7,177.5,,,None,,,,,,,,9.0,,S355,,,PFC_200,Erected,,,
CMP-100557,Reducer,Piping,397.1,671.93,424.7,687.48,,,,,250,,,Oil,,Yes,,Stainless_Steel,,,,,Designed,Vendor_Gamma,,
CMP-100558,Junction_Box,Electrical,380.76,210.05,400.36,229.05,,,,,,,,,,,,,,,,,Energized,Vendor_Theta,HV_33kV,
CMP-100559,Column,Structural,286.73,207.96,304.71,228.56,,,Painted_Epoxy,,,,,,,,9.0,,A572_G50,,,,Fabricated,,,
CMP-100560,Heat_Exchanger,Equipment,501.14,20.98,524.83,51.11,,250,,,,,Centrifugal,,,,,,,,,,Installed,Vendor_Delta,,3300
CMP-100561,Flange,Piping,217.35,695.66,236.77,734.95,,,,,300,,,Steam,,Yes,,Carbon_Steel,,,600,,Procured,Vendor_Beta,,
CMP-100562,Compressor,Equipment,228.55,528.4,252.77,565.95,,100,,,,,,,,,,,,,,,Commissioned,Vendor_Delta,,415
CMP-100563,I_Beam,Structural,299.14,639.68,334.58,671.86,,,None,,,,,,,,12.0,,A36,,,,Fabricated,,,
CMP-100564,Duct,HVAC,360.09,34.5,395.75,68.59,500,,,,,200x200,,,,Acoustic,,Galvanized_Steel,,High,,,Balanced,Vendor_HVAC_1,,
CMP-100565,Heat_Exchanger,Equipment,452.38,414.0,478.49,433.08,,250,,,,,Centrifugal,,,,,,,,,,,,,415
CMP-100566,Air_Handler,HVAC,112.31,640.52,137.69,655.55,1200,,,,,400x300,,,,None,,Aluminum,,Medium,,,Fabricated,Vendor_HVAC_1,,
CMP-100567,Pump,Equipment,880.82,217.27,897.73,240.61,,100,,,,,Centrifugal,,,,,,,,,,Delivered,Vendor_Delta,,6600
CMP-100568,Bracing,Structural,333.55,92.75,371.46,124.29,,,Galvanized,,,,,,,,6.0,,S355,,,UB_203x133,Erected,,,
CMP-100569,Junction_Box,Electrical,753.18,99.21,778.87,132.38,,,,,,,,,IP55,,,,,,,,Connected,Vendor_Theta,MV_11kV,
CMP-100570,Junction_Box,Electrical,561.57,465.62,580.03,504.22,,,,,,,,,IP65,,,,,,,,Connected,Vendor_Zeta,MV_11kV,
CMP-100571,Cable_Tray,Electrical,542.87,315.29,572.32,347.63,,,,,,,,,,,,,,,,,Laid,Vendor_Zeta,HV_33kV,
CMP-100572,Platform,Structural,881.85,664.63,898.34,688.36,,,Galvanized,,,,,,,,12.0,,A36,,,UB_203x133,,,,
CMP-100573,Pump,Equipment,885.85,512.77,910.29,528.43,,,,,,,Reciprocating,,,,,,,,,,,Vendor_Delta,,6600
CMP-100574,Valve,Piping,348.72,75.3,365.65,104.53,,,,,200,,,Gas,,No,,Stainless_Steel,,,600,,Designed,Vendor_Alpha,,
CMP-100575,Pipe_Segment,Piping,563.76,141.51,582.77,166.42,,,,,150,,,Steam,,Yes,,Alloy_Steel,,,600,,Designed,Vendor_Alpha,,
CMP-100576,Compressor,Equipment,577.14,173.23,596.73,206.88,,500,,,,,Centrifugal,,,,,,,,,,Commissioned,Vendor_Epsilon,,6600
CMP-100577,Transformer,Electrical,262.93,93.08,287.0,127.55,,,,,,,,,IP67,,,,,,,,Laid,Vendor_Theta,LV_415V,
CMP-100578,Heat_Exchanger,Equipment,594.55,42.66,616.28,82.08,,500,,,,,Shell_and_Tube,,,,,,,,,,Installed,,,
CMP-100579,Bracing,Structural,882.87,370.15,905.73,394.92,,,Galvanized,,,,,,,,3.0,,A36,,,UB_203x133,,,,
CMP-100580,Junction_Box,Electrical,547.72,616.42,569.97,635.21,,,,,,,,,,,,,,,,,Laid,Vendor_Zeta,HV_33kV,
CMP-100581,Storage_Tank,Equipment,422.73,111.84,445.0,142.43,,500,,,,,Centrifugal,,,,,,,,,,Delivered,Vendor_Epsilon,,6600
CMP-100582,Pipe_Segment,Piping,148.36,629.32,177.04,668.54,,,,,200,,,Gas,,No,,Carbon_Steel,,,300,,,Vendor_Beta,,
CMP-100583,Platform,Structural,900.64,554.2,926.69,592.3,,,None,,,,,,,,12.0,,S355,,,UC_254x254,Fabricated,,,
CMP-100584,Switchgear,Electrical,481.23,457.24,504.07,474.33,,,,,,,,,IP67,,,,,,,,,Vendor_Zeta,MV_11kV,
CMP-100585,Pump,Equipment,159.11,93.71,183.51,122.96,,500,,,,,Centrifugal,,,,,,,,,,Commissioned,Vendor_Delta,,3300
CMP-100586,Reducer,Piping,711.39,159.63,734.61,182.56,,,,C:/Synthetic/Temp/Config_5.dat,300,,,Steam,,Yes,,Alloy_Steel,,,300,,Installed,Vendor_Gamma,,
CMP-100587,Cable_Tray,Electrical,862.81,273.04,888.56,299.88,,,,,,,,,IP67,,,,,,,,Connected,Vendor_Zeta,,
CMP-100588,Pump,Equipment,266.51,77.2,303.35,103.49,,250,,,,,Centrifugal,,,,,,,,,,,Vendor_Epsilon,,415
CMP-100589,Column,Structural,198.74,679.36,225.78,707.75,,,None,,,,,,,,3.0,,S355,,,PFC_200,Inspected,,,
CMP-100590,Damper,HVAC,311.36,710.46,349.83,744.03,,,,,,600x400,,,,None,,Aluminum,,Low,,,Fabricated,Vendor_HVAC_1,,
CMP-100591,Cable_Tray,Electrical,52.84,542.0,72.53,574.41,,,,,,,,,IP65,,,,,,,,Laid,Vendor_Zeta,HV_33kV,
CMP-100592,Bracing,Structural,34.57,647.66,62.12,684.35,,,Painted_Epoxy,,,,,,,,9.0,,S355,,,UC_254x254,Erected,,,
CMP-100593,Valve,Piping,432.94,281.19,461.76,300.26,,,,,300,,,Water,,Yes,,PVC,,,600,,,,,
CMP-100594,Cable_Tray,Electrical,466.76,546.21,504.94,563.7,,,,,,,,,IP67,,,,,,,,Connected,Vendor_Theta,HV_33kV,
CMP-100595,Diffuser,HVAC,123.05,619.44,161.81,643.21,5000,,,,,800x600,,,,Thermal,,Galvanized_Steel,,,,,Balanced,Vendor_HVAC_2,,
CMP-100596,Pump,Equipment,830.17,310.19,845.56,329.02,,250,,,,,Shell_and_Tube,,,,,,,,,,Delivered,Vendor_Epsilon,,6600
CMP-100597,Compressor,Equipment,765.69,580.93,795.14,599.15,,250,,,,,Shell_and_Tube,,,,,,,,,,Delivered,Vendor_Epsilon,,3300
CMP-100598,Column,Structural,873.83,162.63,891.16,188.57,,,Galvanized,,,,,,,,3.0,,S355,,,PFC_200,Fabricated,,,
CMP-100599,Switchgear,Electrical,187.9,476.77,208.44,496.62,,,,,,,,,IP65,,,,,,,,Energized,,HV_33kV,
CMP-100600,Valve,Piping,584.69,466.87,614.17,484.46,,,,,150,,,Gas,,,,Carbon_Steel,,,150,,Procured,Vendor_Beta,,
CMP-100601,Reducer,Piping,86.22,691.45,103.13,723.63,,,,,200,,,Water,,Yes,,PVC,,,150,,Installed,Vendor_Beta,,
CMP-100602,Duct,HVAC,162.55,539.19,200.71,559.01,,,,,,,,,,Acoustic,,Aluminum,,Low,,,,Vendor_HVAC_1,,
CMP-100603,Storage_Tank,Equipment,266.3,159.47,283.6,192.17,,500,,,,,Reciprocating,,,,,,,,,,Installed,Vendor_Epsilon,,3300
CMP-100604,Cable_Tray,Electrical,545.28,556.51,568.07,591.36,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Theta,MV_11kV,
CMP-100605,Duct,HVAC,566.57,320.52,595.75,344.87,500,,,,,200x200,,,,None,,Aluminum,,Medium,,,Balanced,Vendor_HVAC_1,,
CMP-100606,Storage_Tank,Equipment,406.45,150.14,427.58,170.52,,50,,,,,Centrifugal,,,,,,,,,,Installed,Vendor_Epsilon,,
CMP-100607,Pump,Equipment,367.03,441.26,395.21,458.83,,50,,,,,Shell_and_Tube,,,,,,,,,,Commissioned,Vendor_Epsilon,,6600
CMP-100608,Heat_Exchanger,Equipment,64.69,365.75,80.86,387.61,,250,,,,,Reciprocating,,,,,,,,,,Installed,,,415
CMP-100609,Duct,HVAC,840.48,219.06,876.52,244.13,500,,,,,200x200,,,,None,,,,,,,Balanced,Vendor_HVAC_2,,
CMP-100610,Flange,Piping,464.44,52.95,486.9,92.55,,,,,250,,,,,,,Carbon_Steel,,,150,,Installed,Vendor_Gamma,,
CMP-100611,Transformer,Electrical,173.17,153.81,210.73,178.03,,,,,,,,,IP55,,,,,,,,Laid,Vendor_Theta,LV_415V,
CMP-100612,Flange,Piping,316.4,448.93,351.71,470.68,,,,,50,,,Water,,No,,Stainless_Steel,,,150,,Procured,Vendor_Gamma,,
CMP-100613,Switchgear,Electrical,309.72,531.61,330.37,553.21,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Zeta,LV_415V,
CMP-100614,Reducer,Piping,74.24,29.19,94.64,64.65,,,,,250,,,Steam,,No,,Carbon_Steel,,,600,,Designed,Vendor_Alpha,,
CMP-100615,Platform,Structural,897.56,627.5,925.4,662.0,,,Galvanized,,,,,,,,3.0,,A572_G50,,,PFC_200,Fabricated,,,
CMP-100616,Reducer,Piping,188.33,40.01,219.88,66.33,,,,,100,,,,,No,,Carbon_Steel,,,600,,Designed,,,
CMP-100617,Junction_Box,Electrical,194.54,152.61,213.96,174.51,,,,C:/Synthetic/Temp/Config_2.dat,,,,,IP67,,,,,,,,,Vendor_Zeta,HV_33kV,
CMP-100618,Pump,Equipment,67.82,44.98,89.47,61.63,,500,,,,,Centrifugal,,,,,,,,,,Installed,Vendor_Delta,,415
CMP-100619,Storage_Tank,Equipment,593.21,514.1,615.41,529.18,,250,,,,,Shell_and_Tube,,,,,,,,,,Installed,Vendor_Delta,,6600
CMP-100620,Storage_Tank,Equipment,829.88,119.28,845.2,146.15,,50,,,,,Centrifugal,,,,,,,,,,Commissioned,Vendor_Epsilon,,415
CMP-100621,Compressor,Equipment,118.45,593.25,147.63,633.01,,100,,,,,Shell_and_Tube,,,,,,,,,,Installed,Vendor_Epsilon,,415
CMP-100622,Air_Handler,HVAC,617.07,197.48,643.54,233.17,5000,,,,,600x400,,,,Thermal,,Galvanized_Steel,,High,,,Installed,Vendor_HVAC_1,,
CMP-100623,Compressor,Equipment,343.48,541.06,363.33,579.93,,500,,,,,Reciprocating,,,,,,,,,,Installed,Vendor_Epsilon,,6600
CMP-100624,Diffuser,HVAC,870.74,213.37,890.5,242.86,5000,,,,,200x200,,,,None,,Galvanized_Steel,,Medium,,,Installed,Vendor_HVAC_2,,
CMP-100625,Damper,HVAC,293.28,221.78,328.27,237.17,500,,,,,,,,,Acoustic,,Aluminum,,,,,,Vendor_HVAC_2,,
CMP-100626,Damper,HVAC,878.32,519.24,896.89,552.57,500,,,,,200x200,,,,Acoustic,,Aluminum,,Medium,,,Balanced,Vendor_HVAC_1,,
CMP-100627,Diffuser,HVAC,631.03,245.74,660.48,277.82,1200,,,,,400x300,,,,Thermal,,Aluminum,,Low,,,Commissioned,,,
CMP-100628,Diffuser,HVAC,644.72,372.67,676.85,396.61,5000,,,,,800x600,,,,Acoustic,,,,High,,,Balanced,Vendor_HVAC_2,,
CMP-100629,Storage_Tank,Equipment,68.18,611.58,86.33,643.33,,50,,,,,Shell_and_Tube,,,,,,,,,,Ordered,Vendor_Delta,,
CMP-100630,Platform,Structural,641.53,625.02,659.57,654.64,,,Painted_Epoxy,,,,,,,,6.0,,S355,,,,Inspected,,,
CMP-100631,Storage_Tank,Equipment,585.42,523.4,623.83,558.54,,50,,C:/Synthetic/Temp/Config_7.dat,,,Centrifugal,,,,,,,,,,Delivered,Vendor_Epsilon,,415
CMP-100632,Reducer,Piping,371.64,668.23,394.14,695.32,,,,,250,,,Water,,Yes,,Stainless_Steel,,,600,,Procured,Vendor_Gamma,,
CMP-100633,Damper,HVAC,448.54,223.03,480.23,262.01,500,,,,,600x400,,,,None,,Aluminum,,Medium,,,Balanced,,,
CMP-100634,Diffuser,HVAC,58.37,654.94,97.44,681.64,,,,,,600x400,,,,None,,Galvanized_Steel,,High,,,Fabricated,Vendor_HVAC_1,,
CMP-100635,Bracing,Structural,433.53,621.06,452.03,655.68,,,Painted_Epoxy,,,,,,,,12.0,,A572_G50,,,,Fabricated,,,
CMP-100636,Air_Handler,HVAC,136.48,246.85,175.36,270.55,,,,,,800x600,,,,,,Galvanized_Steel,,,,,Commissioned,Vendor_HVAC_1,,
CMP-100637,Pump,Equipment,829.81,141.8,867.12,175.7,,,,,,,Centrifugal,,,,,,,,,,Ordered,Vendor_Epsilon,,415
CMP-100638,Duct,HVAC,851.2,244.81,883.67,269.25,5000,,,,,400x300,,,,None,,Galvanized_Steel,,Medium,,,Installed,,,
CMP-100639,Pipe_Segment,Piping,203.19,587.01,240.52,611.0,,,,,300,,,Steam,,No,,Carbon_Steel,,,600,,Tested,Vendor_Beta,,
CMP-100640,Damper,HVAC,741.44,327.21,772.08,364.06,2500,,,,,400x300,,,,,,Aluminum,,Medium,,,Balanced,Vendor_HVAC_2,,
CMP-100641,Switchgear,Electrical,81.16,630.03,120.36,646.9,,,,,,,,,IP67,,,,,,,,Energized,,HV_33kV,
CMP-100642,Reducer,Piping,863.23,709.45,894.56,725.26,,,,,50,,,Water,,No,,Stainless_Steel,,,600,,Designed,Vendor_Gamma,,
CMP-100643,Duct,HVAC,331.26,69.53,356.67,103.01,2500,,,,,800x600,,,,None,,,,Low,,,Commissioned,Vendor_HVAC_1,,
CMP-100644,Pipe_Segment,Piping,43.72,567.28,63.62,597.48,,,,,50,,,Steam,,No,,Carbon_Steel,,,300,,Designed,Vendor_Beta,,
CMP-100645,Column,Structural,328.81,662.65,349.76,679.95,,,Galvanized,,,,,,,,3.0,,,,,PFC_200,Fabricated,,,
CMP-100646,Valve,Piping,414.7,217.82,437.55,247.88,,,,,200,,,Steam,,Yes,,PVC,,,150,,Installed,Vendor_Alpha,,
CMP-100647,Switchgear,Electrical,867.28,566.15,889.6,597.49,,,,,,,,,IP67,,,,,,,,Laid,Vendor_Theta,MV_11kV,
CMP-100648,Diffuser,HVAC,271.81,162.49,290.24,201.89,1200,,,,,400x300,,,,Thermal,,Aluminum,,,,,Fabricated,Vendor_HVAC_1,,
CMP-100649,Bracing,Structural,549.42,230.29,588.55,246.78,,,Painted_Epoxy,,,,,,,,3.0,,A572_G50,,,UC_254x254,Erected,,,
CMP-100650,Duct,HVAC,614.36,41.91,648.43,80.34,2500,,,,,600x400,,,,None,,Galvanized_Steel,,High,,,Commissioned,Vendor_HVAC_1,,
CMP-100651,Reducer,Piping,877.23,672.73,899.42,712.5,,,,,250,,,Steam,,No,,Alloy_Steel,,,300,,Designed,Vendor_Gamma,,
CMP-100652,I_Beam,Structural,918.93,559.94,941.33,589.22,,,None,,,,,,,,3.0,,,,,UC_254x254,Erected,,,
CMP-100653,Compressor,Equipment,436.45,327.94,463.11,367.09,,50,,,,,Shell_and_Tube,,,,,,,,,,Installed,Vendor_Epsilon,,415
CMP-100654,Storage_Tank,Equipment,709.38,213.3,746.11,231.48,,50,,,,,Centrifugal,,,,,,,,,,,Vendor_Epsilon,,6600
CMP-100655,Air_Handler,HVAC,57.76,522.15,74.28,555.01,,,,,,600x400,,,,Thermal,,Galvanized_Steel,,Medium,,,Commissioned,Vendor_HVAC_1,,
CMP-100656,Heat_Exchanger,Equipment,313.21,279.95,348.78,305.35,,250,,,,,Reciprocating,,,,,,,,,,Commissioned,Vendor_Epsilon,,3300
CMP-100657,Switchgear,Electrical,579.72,132.22,595.84,170.48,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Theta,LV_415V,
CMP-100658,Compressor,Equipment,767.65,42.82,800.81,67.35,,100,,,,,Centrifugal,,,,,,,,,,Commissioned,Vendor_Delta,,6600
CMP-100659,Duct,HVAC,566.39,481.44,594.4,504.36,2500,,,,,600x400,,,,Acoustic,,Aluminum,,Medium,,,Commissioned,Vendor_HVAC_2,,
CMP-100660,I_Beam,Structural,336.79,373.95,374.66,405.28,,,Galvanized,,,,,,,,6.0,,A572_G50,,,UB_203x133,Erected,,,
CMP-100661,Damper,HVAC,564.99,577.1,588.53,595.05,1200,,,,,400x300,,,,Thermal,,,,Medium,,,Commissioned,Vendor_HVAC_1,,
CMP-100662,Reducer,Piping,41.54,136.85,58.37,164.72,,,,,150,,,Gas,,No,,Alloy_Steel,,,600,,Designed,Vendor_Alpha,,
CMP-100663,Flange,Piping,874.93,657.47,905.7,690.99,,,,,300,,,Water,,Yes,,Alloy_Steel,,,600,,Installed,Vendor_Beta,,
CMP-100664,Switchgear,Electrical,414.73,376.07,444.43,414.69,,,,,,,,,IP65,,,,,,,,,Vendor_Theta,,
CMP-100665,Bracing,Structural,365.66,550.11,404.5,566.16,,,,,,,,,,,9.0,,S355,,,PFC_200,Fabricated,,,
CMP-100666,Bracing,Structural,457.97,176.54,477.2,215.02,,,,,,,,,,,6.0,,S355,,,UB_203x133,Inspected,,,
CMP-100667,Pump,Equipment,558.55,47.82,595.82,76.27,,50,,,,,Reciprocating,,,,,,,,,,Commissioned,Vendor_Delta,,3300
CMP-100668,Switchgear,Electrical,846.2,521.38,884.18,539.38,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Theta,MV_11kV,
CMP-100669,Valve,Piping,674.63,248.98,702.31,270.88,,,,,150,,,Water,,No,,Carbon_Steel,,,150,,Designed,Vendor_Gamma,,
CMP-100670,Transformer,Electrical,626.01,205.7,644.8,241.05,,,,,,,,,IP67,,,,,,,,Energized,Vendor_Zeta,MV_11kV,
CMP-100671,Reducer,Piping,80.54,410.42,100.75,429.87,,,,,300,,,Steam,,Yes,,PVC,,,600,,Tested,Vendor_Gamma,,
CMP-100672,Switchgear,Electrical,509.07,226.79,529.54,265.86,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Zeta,MV_11kV,
CMP-100673,Switchgear,Electrical,614.55,263.31,639.5,281.51,,,,,,,,,IP67,,,,,,,,Connected,Vendor_Zeta,MV_11kV,
CMP-100674,Cable_Tray,Electrical,526.03,246.23,557.9,271.51,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Zeta,MV_11kV,
CMP-100675,Platform,Structural,388.83,420.75,407.99,440.91,,,Galvanized,,,,,,,,3.0,,S355,,,UB_203x133,Fabricated,,,
CMP-100676,Bracing,Structural,710.16,407.03,741.53,435.0,,,Galvanized,,,,,,,,6.0,,A36,,,PFC_200,Erected,,,
CMP-100677,Transformer,Electrical,517.66,194.09,533.0,230.23,,,,,,,,,IP65,,,,,,,,Laid,Vendor_Theta,HV_33kV,
CMP-100678,Valve,Piping,588.4,501.65,604.24,535.4,,,,,100,,,,,Yes,,Alloy_Steel,,,300,,Tested,,,
CMP-100679,Damper,HVAC,106.0,431.74,130.78,467.53,500,,,,,600x400,,,,None,,Aluminum,,Medium,,,Balanced,Vendor_HVAC_1,,
CMP-100680,Switchgear,Electrical,455.01,655.37,483.34,676.49,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Theta,,
CMP-100681,Pump,Equipment,377.61,182.48,401.86,211.56,,50,,,,,Reciprocating,,,,,,,,,,Commissioned,Vendor_Delta,,
CMP-100682,Compressor,Equipment,574.84,351.46,607.92,380.63,,250,,,,,Reciprocating,,,,,,,,,,,Vendor_Epsilon,,415
CMP-100683,Flange,Piping,641.36,548.53,676.23,577.17,,,,,300,,,Oil,,Yes,,Stainless_Steel,,,600,,Tested,Vendor_Alpha,,
CMP-100684,Pump,Equipment,169.58,326.32,208.88,342.3,,500,,,,,Centrifugal,,,,,,,,,,Ordered,Vendor_Epsilon,,6600
CMP-100685,Bracing,Structural,490.23,450.57,514.52,481.83,,,Painted_Epoxy,,,,,,,,9.0,,S355,,,PFC_200,Fabricated,,,
CMP-100686,Column,Structural,167.81,520.56,194.66,543.5,,,Galvanized,,,,,,,,9.0,,A572_G50,,,,Inspected,,,
CMP-100687,Switchgear,Electrical,105.24,457.48,135.1,474.15,,,,,,,,,IP55,,,,,,,,Connected,Vendor_Theta,LV_415V,
CMP-100688,Air_Handler,HVAC,350.55,556.89,388.91,585.92,,,,,,400x300,,,,Acoustic,,Galvanized_Steel,,High,,,Commissioned,Vendor_HVAC_2,,
CMP-100689,Diffuser,HVAC,208.38,21.87,229.18,42.28,5000,,,,,400x300,,,,Acoustic,,,,Medium,,,Commissioned,Vendor_HVAC_2,,
CMP-100690,Bracing,Structural,470.34,102.11,499.34,126.54,,,Galvanized,,,,,,,,3.0,,A572_G50,,,PFC_200,Inspected,,,
CMP-100691,Column,Structural,775.89,412.34,803.14,447.06,,,Painted_Epoxy,,,,,,,,3.0,,S355,,,PFC_200,Erected,,,
CMP-100692,Transformer,Electrical,575.28,633.41,613.3,653.18,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Theta,HV_33kV,
CMP-100693,I_Beam,Structural,839.94,661.06,867.51,676.38,,,Galvanized,,,,,,,,9.0,,S355,,,UC_254x254,Fabricated,,,
CMP-100694,Junction_Box,Electrical,461.27,351.41,498.14,385.17,,,,,,,,,IP67,,,,,,,,Laid,Vendor_Zeta,LV_415V,
CMP-100695,Pump,Equipment,397.62,612.06,414.02,643.0,,,,,,,,,,,,,,,,,Ordered,Vendor_Epsilon,,415
CMP-100696,Storage_Tank,Equipment,484.71,678.38,509.79,714.32,,100,,,,,Centrifugal,,,,,,,,,,Ordered,Vendor_Delta,,415
CMP-100697,Diffuser,HVAC,175.67,542.78,211.62,557.86,5000,,,,,600x400,,,,Acoustic,,,,High,,,Fabricated,Vendor_HVAC_1,,
CMP-100698,Storage_Tank,Equipment,552.03,696.04,586.2,730.76,,100,,,,,Reciprocating,,,,,,,,,,Delivered,Vendor_Delta,,6600
CMP-100699,I_Beam,Structural,361.38,220.95,383.35,250.08,,,Painted_Epoxy,,,,,,,,9.0,,A36,,,UB_203x133,Erected,,,
CMP-100700,Bracing,Structural,333.97,469.28,360.21,500.06,,,Painted_Epoxy,,,,,,,,6.0,,A36,,,PFC_200,Inspected,,,
CMP-100701,Column,Structural,327.96,697.94,356.75,731.52,,,,,,,,,,,9.0,,S355,,,UC_254x254,Inspected,,,
CMP-100702,Compressor,Equipment,145.83,430.77,170.14,455.22,,50,,,,,Centrifugal,,,,,,,,,,Commissioned,Vendor_Delta,,415
CMP-100703,Storage_Tank,Equipment,295.65,346.79,315.3,362.33,,500,,,,,Reciprocating,,,,,,,,,,Installed,Vendor_Epsilon,,3300
CMP-100704,Junction_Box,Electrical,290.16,699.54,327.1,733.62,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Zeta,HV_33kV,
CMP-100705,Heat_Exchanger,Equipment,850.12,640.62,889.25,679.19,,100,,,,,Shell_and_Tube,,,,,,,,,,Installed,Vendor_Delta,,415
CMP-100706,Platform,Structural,376.39,342.41,407.86,362.42,,,None,,,,,,,,6.0,,A572_G50,,,,Inspected,,,
CMP-100707,Air_Handler,HVAC,24.45,131.53,41.95,160.28,5000,,,,,400x300,,,,Thermal,,Galvanized_Steel,,High,,,Installed,Vendor_HVAC_2,,
CMP-100708,Platform,Structural,557.24,393.88,580.91,425.63,,,Painted_Epoxy,,,,,,,,6.0,,A36,,,PFC_200,Fabricated,,,
CMP-100709,Diffuser,HVAC,843.13,471.9,861.58,491.6,,,,,,800x600,,,,None,,Aluminum,,Low,,,Fabricated,Vendor_HVAC_2,,
CMP-100710,Heat_Exchanger,Equipment,378.39,382.14,396.05,417.3,,500,,,,,Shell_and_Tube,,,,,,,,,,Delivered,Vendor_Epsilon,,415
CMP-100711,Cable_Tray,Electrical,457.53,691.94,482.57,726.22,,,,,,,,,IP55,,,,,,,,Connected,Vendor_Theta,MV_11kV,
CMP-100712,Bracing,Structural,120.5,145.19,146.1,179.18,,,None,,,,,,,,9.0,,A36,,,UC_254x254,Erected,,,
CMP-100713,Cable_Tray,Electrical,438.29,47.89,474.99,74.4,,,,,,,,,IP65,,,,,,,,Connected,Vendor_Zeta,,
CMP-100714,Air_Handler,HVAC,180.86,269.82,196.3,292.94,500,,,,,200x200,,,,Acoustic,,Galvanized_Steel,,Medium,,,Commissioned,Vendor_HVAC_2,,
CMP-100715,Platform,Structural,640.09,190.87,675.73,226.74,,,Galvanized,,,,,,,,,,S355,,,UB_203x133,Inspected,,,
CMP-100716,Reducer,Piping,481.37,527.78,504.81,558.7,,,,,,,,Oil,,Yes,,Alloy_Steel,,,300,,Procured,Vendor_Beta,,
CMP-100717,Damper,HVAC,644.83,54.18,674.16,74.56,1200,,,,,600x400,,,,Acoustic,,,,High,,,Balanced,,,
CMP-100718,Pump,Equipment,723.85,480.05,745.72,506.61,,100,,,,,Shell_and_Tube,,,,,,,,,,Ordered,Vendor_Epsilon,,6600
CMP-100719,Diffuser,HVAC,591.3,250.13,616.03,288.38,2500,,,,,,,,,None,,Aluminum,,Low,,,Commissioned,Vendor_HVAC_1,,
CMP-100720,Duct,HVAC,588.25,412.93,611.88,433.12,2500,,,,,600x400,,,,Acoustic,,,,Medium,,,Commissioned,Vendor_HVAC_1,,
CMP-100721,Platform,Structural,910.71,282.7,939.15,307.16,,,Galvanized,,,,,,,,3.0,,A36,,,,Inspected,,,
CMP-100722,Junction_Box,Electrical,336.82,172.43,374.33,194.4,,,,,,,,,IP67,,,,,,,,Energized,Vendor_Theta,HV_33kV,
CMP-100723,Compressor,Equipment,465.35,344.74,501.0,370.98,,50,,,,,Centrifugal,,,,,,,,,,Delivered,Vendor_Delta,,3300
CMP-100724,Junction_Box,Electrical,896.82,307.21,927.73,337.68,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Zeta,HV_33kV,
CMP-100725,Column,Structural,169.81,457.85,201.92,496.65,,,Galvanized,C:/Synthetic/Temp/Config_1.dat,,,,,,,6.0,,,,,PFC_200,Inspected,,,
CMP-100726,Heat_Exchanger,Equipment,444.95,518.95,464.94,537.27,,,,,,,,,,,,,,,,,Commissioned,Vendor_Delta,,3300
CMP-100727,Cable_Tray,Electrical,743.32,606.51,780.12,644.23,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Theta,HV_33kV,
CMP-100728,Cable_Tray,Electrical,724.74,690.3,761.82,718.73,,,,,,,,,IP67,,,,,,,,Connected,Vendor_Zeta,HV_33kV,
CMP-100729,Platform,Structural,765.48,527.61,781.48,552.6,,,Painted_Epoxy,,,,,,,,3.0,,S355,,,UC_254x254,Inspected,,,
CMP-100730,Valve,Piping,349.82,479.58,368.37,500.66,,,,,,,,Gas,,No,,PVC,,,150,,Tested,Vendor_Beta,,
